moa,precision,recall,f1
AKT,0.7295238095238095,0.9333333333333332,0.8125641025641025
AURORA KINASE,0.8737012987012986,0.55,0.6687566742944318
CDK,0.4290476190476191,0.43809523809523804,0.42902324156679555
EGFR,0.5889768995372443,0.6592592592592593,0.6214975420060165
HDAC,0.7058413764908725,0.6208333333333333,0.6596408671545877
HMGCR,0.16666666666666666,0.1,0.12444444444444444
JAK,0.13856643356643356,0.15999999999999998,0.146587892394344
MTOR,0.8111111111111111,0.6333333333333334,0.7108225108225108
PARP,0.4825396825396826,0.5333333333333334,0.5033307907449783
TOPOISOMERASE,0.31277327935222676,0.4833333333333333,0.3657088285229202
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.23528138528138526,0.21333333333333332,0.22122909019460746
