moa,precision,recall,f1
AKT,0.6141330891330892,0.5777777777777777,0.5878490790255497
AURORA KINASE,0.47800000000000004,0.5888888888888889,0.527062423500612
CDK,0.6216959511077158,0.2888888888888889,0.38554832669986094
EGFR,0.5858459949764299,0.7523809523809524,0.6505875159687589
HDAC,0.716604995374653,0.7155555555555555,0.7154717405356792
HMGCR,0.125,0.1,0.10634920634920633
JAK,0.21634615384615383,0.14285714285714285,0.17170111287758344
MTOR,0.8300000000000001,0.31666666666666665,0.4573529411764706
PARP,0.5379491476265669,0.6416666666666667,0.5839764446080236
TOPOISOMERASE,0.6914285714285715,0.55,0.608133971291866
TUBULIN,0.3408695652173913,0.6888888888888888,0.45181308155446087
TYROSINE KINASE,0.06405797101449276,0.09333333333333334,0.07260818713450293
VEGFR,0.03636363636363636,0.03333333333333333,0.034782608695652174
