moa,precision,recall,f1
AKT,0.41601731601731595,0.5111111111111111,0.4526190476190477
AURORA KINASE,0.3882883022774327,0.4888888888888888,0.4278959986106227
CDK,0.5489913526209033,0.437037037037037,0.4819721444143276
HDAC,0.7123710867540656,0.6622222222222223,0.6786585989481113
HMGCR,0.12129870129870128,0.2333333333333333,0.15911764705882353
JAK,0.2544542390458906,0.23809523809523805,0.24086229086229088
MTOR,0.42000000000000004,0.15,0.22058823529411767
PARP,0.5252964669738864,0.6083333333333334,0.562661888376174
TOPOISOMERASE,0.5193650793650794,0.55,0.5069441279967595
TUBULIN,0.4402852049910873,0.6,0.5046886446886447
TYROSINE KINASE,0.43307359307359306,0.3555555555555555,0.3866708371925668
VEGFR,0.0,0.0,0.0
