moa,precision,recall,f1
AKT,0.43820512820512814,0.6444444444444445,0.5145770245430941
AURORA KINASE,0.41013957307060755,0.7222222222222221,0.5217035558368632
CDK,0.4924646174259177,0.4,0.4342554990137414
HDAC,0.7242225859247136,0.6755555555555557,0.6980879308245036
HMGCR,0.10262626262626262,0.2333333333333333,0.13840120663650074
JAK,0.2048588863463005,0.2,0.20015254586683157
MTOR,0.7183333333333333,0.25,0.354593837535014
PARP,0.5470712560386474,0.5833333333333333,0.5620327687041515
TOPOISOMERASE,0.5388704862389073,0.6499999999999999,0.5831435250116878
TUBULIN,0.44360446570972883,0.6666666666666666,0.5247919799498747
TYROSINE KINASE,0.595925925925926,0.3466666666666667,0.4363659881829901
