moa,precision,recall,f1
AKT,0.4489285714285714,0.6444444444444445,0.5205536179278781
AURORA KINASE,0.5104210526315789,0.7333333333333333,0.5919079730920104
CDK,0.5201249730661496,0.34074074074074073,0.40325944495755817
EGFR,0.5505570773312709,0.7714285714285715,0.6415146891635359
HDAC,0.8077905491698596,0.5599999999999999,0.6585752419085752
HMGCR,0.11388888888888889,0.2,0.1441269841269841
JAK,0.2810744810744811,0.18095238095238092,0.21731940418847442
MTOR,0.5433333333333333,0.2833333333333333,0.370374957000344
PARP,0.6167878787878788,0.675,0.6383474921068906
TOPOISOMERASE,0.49714390872285613,0.6166666666666667,0.5428447597832962
TUBULIN,0.36173687423687423,0.711111111111111,0.47306561106561107
TYROSINE KINASE,0.11686274509803922,0.08333333333333333,0.09704133265108875
