moa,precision,recall,f1
AKT,0.7166666666666666,0.9333333333333332,0.8057142857142857
AURORA KINASE,0.7747619047619048,0.5,0.603025746183641
CDK,0.3682406997886874,0.3333333333333333,0.3494359256490193
EGFR,0.774805418984942,0.7037037037037036,0.7342238126219909
HDAC,0.837863202545069,0.75,0.7904744311390258
HMGCR,0.1307936507936508,0.13333333333333333,0.13016317016317017
JAK,0.050793650793650794,0.026666666666666665,0.03484848484848485
MTOR,0.8933333333333333,0.7833333333333334,0.8320346320346321
PARP,0.4636868686868686,0.6444444444444444,0.5297231968810916
TOPOISOMERASE,0.5438348416289592,0.6666666666666666,0.5968669950738915
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.2519047619047619,0.19999999999999998,0.2204662004662005
VEGFR,0.1644078144078144,0.5333333333333333,0.24833333333333335
