moa,precision,recall,f1
AKT,0.7166666666666666,0.9666666666666668,0.8164285714285715
AURORA KINASE,0.7595238095238095,0.5,0.6012030075187969
CDK,0.36346491228070177,0.3142857142857142,0.33655747680137926
HDAC,0.8124500660214947,0.7416666666666667,0.7735388597393238
HMGCR,0.1588888888888889,0.16666666666666666,0.15325396825396825
JAK,0.1962116830537883,0.17333333333333334,0.1774467362702657
MTOR,0.9103030303030304,0.8,0.8504611330698287
PARP,0.5118067632850242,0.6666666666666666,0.5754900107140607
TOPOISOMERASE,0.5841758241758241,0.65,0.6100368870895186
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.7720562046649003,0.5757575757575757,0.6583790971024266
VEGFR,0.11951159951159951,0.3333333333333333,0.17055555555555552
