moa,precision,recall,f1
AKT,0.8047619047619048,0.9666666666666668,0.8696153846153847
AURORA KINASE,0.6505194805194805,0.5,0.5597545246515498
CDK,0.3804761904761905,0.3904761904761905,0.3838062054089929
HDAC,0.8433534706845094,0.8125,0.8260006141267484
HMGCR,0.3333333333333333,0.13333333333333333,0.18888888888888888
JAK,0.21496052966641202,0.22666666666666666,0.2197752963881996
MTOR,0.9618181818181817,0.8166666666666668,0.88300395256917
PARP,0.48706413599922727,0.6666666666666667,0.5574291881414916
TOPOISOMERASE,0.6526532677848468,0.8166666666666667,0.7224828075150656
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.6820921290816903,0.5282051282051282,0.5902434721693384
