moa,precision,recall,f1
AKT,0.7575396825396825,0.9333333333333333,0.8322344322344322
AURORA KINASE,0.7547619047619047,0.5166666666666667,0.6048872180451127
CDK,0.42426113360323886,0.36190476190476184,0.38528642983948325
EGFR,0.6312502386680414,0.7555555555555555,0.6828138528138529
HDAC,0.8211835783264355,0.7625,0.7892281350733568
HMGCR,0.19833333333333333,0.13333333333333333,0.1538239538239538
JAK,0.16212121212121214,0.16,0.15775775775775774
MTOR,0.9618181818181817,0.8333333333333334,0.8924901185770752
PARP,0.5083521550912855,0.5777777777777777,0.5368200904786271
TOPOISOMERASE,0.6333333333333333,0.8166666666666668,0.7112250712250713
TUBULIN,0.04,0.06666666666666667,0.05
TYROSINE KINASE,0.3567460317460317,0.21333333333333332,0.2613625738450423
