moa,precision,recall,f1
AKT,0.3301587301587302,0.3111111111111111,0.31373015873015875
AURORA KINASE,0.44021052631578944,0.4,0.4105313369848254
CDK,0.1419047619047619,0.05185185185185185,0.07513466925231631
EGFR,0.6267501017501017,0.780952380952381,0.6949739470256187
HDAC,0.6183442433652695,0.6044444444444445,0.6078833376158717
HMGCR,0.13999999999999999,0.06666666666666667,0.08636363636363636
JAK,0.23274891774891776,0.23809523809523805,0.23507693415804587
MTOR,0.5,0.16666666666666666,0.2414565826330532
PARP,0.47966943502547216,0.65,0.5501430779551922
TOPOISOMERASE,0.24392617524463364,0.5,0.3177152878079457
TUBULIN,0.16479684108994452,0.4,0.23018860935329527
TYROSINE KINASE,0.023809523809523808,0.026666666666666665,0.02490421455938697
VEGFR,0.050793650793650794,0.03333333333333333,0.040100250626566414
