moa,precision,recall,f1
AKT,0.3257967032967033,0.3555555555555555,0.33335040810582606
AURORA KINASE,0.48877462406874167,0.5111111111111111,0.4943253968253968
CDK,0.1510024154589372,0.11111111111111112,0.12780823574688
HDAC,0.5817360277444311,0.5733333333333335,0.572416051849536
HMGCR,0.0,0.0,0.0
JAK,0.2580149319279754,0.21904761904761902,0.23446811586346472
MTOR,0.37380952380952376,0.15,0.20424812030075187
PARP,0.5372550591063915,0.7000000000000001,0.6037915547029291
TOPOISOMERASE,0.2552924199983023,0.5333333333333333,0.3247754274123442
TUBULIN,0.22900432900432902,0.3777777777777778,0.2802898550724638
TYROSINE KINASE,0.4402152827211836,0.3388888888888889,0.378120629479624
VEGFR,0.03333333333333333,0.016666666666666666,0.02222222222222222
