moa,precision,recall,f1
AKT,0.2758730158730159,0.24444444444444446,0.25760233918128655
AURORA KINASE,0.4331002331002331,0.5888888888888889,0.4912280701754386
CDK,0.20358974358974363,0.1037037037037037,0.137001287001287
HDAC,0.5472306055932605,0.6666666666666666,0.5960975641777548
HMGCR,0.13722222222222222,0.16666666666666666,0.14874458874458873
JAK,0.2730604921394395,0.2095238095238095,0.23462025614464643
MTOR,0.29714285714285715,0.13333333333333333,0.18230134158926728
PARP,0.5343059918699519,0.625,0.5756045730074586
TOPOISOMERASE,0.3238076416337286,0.3333333333333333,0.30477398205659073
TUBULIN,0.2822222222222222,0.6444444444444443,0.3901660280970626
TYROSINE KINASE,0.5094444444444444,0.4177777777777778,0.45712767537310384
