moa,precision,recall,f1
AKT,0.22743589743589743,0.26666666666666666,0.24382346239931377
AURORA KINASE,0.616240199429054,0.6222222222222222,0.6154226783174152
CDK,0.15837606837606838,0.059259259259259255,0.08558987558987559
EGFR,0.6043528084818407,0.780952380952381,0.6777497370144145
HDAC,0.6381778790315376,0.5288888888888889,0.5639513350656727
HMGCR,0.11333333333333333,0.1,0.10606060606060605
JAK,0.2538986503692386,0.18095238095238092,0.21025544630807785
MTOR,0.20444444444444443,0.16666666666666666,0.18354978354978355
PARP,0.5326658526658525,0.625,0.5746780626780627
TOPOISOMERASE,0.12507248848712263,0.2833333333333333,0.17097961329516914
TUBULIN,0.13093840076865593,0.4222222222222222,0.19643380136101302
TYROSINE KINASE,0.22012044653349,0.19999999999999998,0.20448964708120618
