moa,precision,recall,f1
AKT,0.4958152958152958,0.7333333333333334,0.5895625942684767
AURORA KINASE,0.7364285714285714,0.45,0.5535885167464115
CDK,0.3439948287007111,0.23809523809523805,0.2807489311514079
EGFR,0.6987063618642566,0.5555555555555556,0.6159426862532453
HDAC,0.7430656624312224,0.5916666666666667,0.6422877097353914
HMGCR,0.15454545454545454,0.16666666666666666,0.14836601307189543
JAK,0.2719191919191919,0.2533333333333333,0.25773892773892776
MTOR,0.8586363636363636,0.6333333333333333,0.720764163372859
PARP,0.5335981257491555,0.5555555555555556,0.5376613032100837
TOPOISOMERASE,0.22724987430869784,0.33333333333333337,0.2656763925729443
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.05858585858585859,0.1,0.07372549019607844
VEGFR,0.07916666666666666,0.13333333333333333,0.08771929824561403
