moa,precision,recall,f1
AKT,0.7158730158730158,0.9333333333333333,0.8046153846153846
AURORA KINASE,0.8476190476190476,0.4666666666666667,0.6011695906432748
CDK,0.1952380952380952,0.17142857142857143,0.18153846153846154
HDAC,0.7112789083330534,0.6625000000000001,0.6843949627595667
HMGCR,0.2452380952380952,0.13333333333333333,0.1652136752136752
JAK,0.22825906120023767,0.25333333333333335,0.23735772135772137
MTOR,0.8098124098124098,0.6666666666666666,0.7250735534488395
PARP,0.5152941176470589,0.5777777777777777,0.5413533834586466
TOPOISOMERASE,0.1922077922077922,0.16666666666666669,0.15340557275541794
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5870649928491976,0.4606060606060606,0.5125
VEGFR,0.02222222222222222,0.06666666666666667,0.03333333333333333
