moa,precision,recall,f1
AKT,0.6255194805194806,0.8,0.6920256214373861
AURORA KINASE,0.5809090909090909,0.5,0.5360907208733295
CDK,0.23230019493177387,0.2095238095238095,0.21824324324324323
HDAC,0.6519359153174878,0.6083333333333333,0.6277815526025116
HMGCR,0.20666666666666664,0.16666666666666666,0.18303030303030304
JAK,0.34535014005602244,0.29333333333333333,0.3113085124104614
MTOR,0.7477428127428127,0.6166666666666667,0.6715746282702805
PARP,0.48578537404624356,0.5222222222222223,0.49784382429171037
TOPOISOMERASE,0.24619047619047615,0.23333333333333334,0.22536239588871165
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5391545115943771,0.5384615384615385,0.5349084963049172
