moa,precision,recall,f1
AKT,0.6706410256410257,0.9666666666666668,0.7791729323308271
AURORA KINASE,0.7816666666666666,0.5166666666666667,0.6183838383838383
CDK,0.2598717948717949,0.18095238095238095,0.21312488959547782
EGFR,0.6538888888888889,0.6666666666666667,0.6565323565323565
HDAC,0.6846065605112939,0.6083333333333334,0.643097657915366
HMGCR,0.1,0.03333333333333333,0.05
JAK,0.2678007518796992,0.25333333333333335,0.2569147709510204
MTOR,0.813562091503268,0.6333333333333333,0.6956550728964521
PARP,0.4103030303030303,0.5222222222222221,0.4592137320044297
TOPOISOMERASE,0.25243589743589745,0.25,0.24688215488215487
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.3267695539754364,0.31999999999999995,0.3225766724932465
