moa,precision,recall,f1
AKT,0.4584415584415584,0.3555555555555555,0.39197478991596635
AURORA KINASE,0.4512702472293265,0.4666666666666666,0.45224769240173607
CDK,0.2983893557422969,0.1259259259259259,0.1742217132461035
EGFR,0.6301217858812529,0.7999999999999999,0.7017062911566603
HDAC,0.4951006638260769,0.5333333333333334,0.5071902303694825
HMGCR,0.15,0.06666666666666667,0.09
JAK,0.3200894392844857,0.27619047619047615,0.29586704409554215
MTOR,0.12444444444444444,0.06666666666666667,0.08515406162464986
PARP,0.5281026537422533,0.6583333333333333,0.5857372396995038
TOPOISOMERASE,0.2588432400932401,0.4,0.2907308377896613
TUBULIN,0.17728937728937727,0.3111111111111111,0.21818181818181817
TYROSINE KINASE,0.04928571428571429,0.05333333333333333,0.05102812648975051
VEGFR,0.025,0.016666666666666666,0.02
