moa,precision,recall,f1
AKT,0.5355555555555556,0.4,0.4479712100764733
AURORA KINASE,0.5315762668703845,0.4333333333333334,0.45750031577617783
CDK,0.2715220695309536,0.2074074074074074,0.23392153188426482
HDAC,0.4649438682576855,0.5244444444444445,0.4908752880439172
HMGCR,0.1,0.03333333333333333,0.05
JAK,0.31831501831501835,0.23809523809523805,0.2693557422969188
MTOR,0.25,0.03333333333333333,0.05576923076923077
PARP,0.5457569786535303,0.6666666666666667,0.5985362841820423
TOPOISOMERASE,0.23122516747516747,0.4666666666666667,0.30169977613586635
TUBULIN,0.40098034653388553,0.8444444444444444,0.5369686843371053
TYROSINE KINASE,0.41214708161196806,0.3833333333333333,0.39349979558708215
VEGFR,0.02857142857142857,0.016666666666666666,0.021052631578947368
