moa,precision,recall,f1
AKT,0.3661688311688312,0.37777777777777777,0.35109031336186036
AURORA KINASE,0.4696886446886447,0.6333333333333333,0.5360247595541713
CDK,0.3009324009324009,0.16296296296296295,0.20935956913560494
HDAC,0.5530452265627239,0.5288888888888889,0.539160343141806
HMGCR,0.13333333333333333,0.06666666666666667,0.08888888888888888
JAK,0.34390692640692644,0.24761904761904763,0.2820253150335671
MTOR,0.7333333333333333,0.11666666666666667,0.19487179487179487
PARP,0.5303565288993543,0.6666666666666667,0.5883182437880905
TOPOISOMERASE,0.2289998500524816,0.4833333333333333,0.3047652410840267
TUBULIN,0.3124358974358975,0.48888888888888893,0.3730438256807425
TYROSINE KINASE,0.4905801922815386,0.47111111111111115,0.4793233495940504
