moa,precision,recall,f1
AKT,0.399047619047619,0.3333333333333333,0.3592105263157894
AURORA KINASE,0.5670634920634922,0.6111111111111112,0.5848829533040059
CDK,0.413997113997114,0.16296296296296295,0.2300080665556766
EGFR,0.5338434292212183,0.7999999999999999,0.6398116271856561
HDAC,0.5401339184995129,0.591111111111111,0.5637487426307303
HMGCR,0.11190476190476191,0.1,0.10410256410256409
JAK,0.3416666666666667,0.20952380952380953,0.2578658423819714
MTOR,0.29,0.05,0.07929864253393666
PARP,0.5707330489310467,0.6833333333333333,0.6213990118895779
TOPOISOMERASE,0.22492260061919503,0.4,0.286179990754518
TUBULIN,0.30433333333333334,0.5111111111111112,0.37283915671531764
TYROSINE KINASE,0.19349019607843138,0.18333333333333335,0.18202290015443326
