moa,precision,recall,f1
AKT,0.6317460317460318,0.8666666666666668,0.7283699633699634
AURORA KINASE,0.8683333333333334,0.45,0.5896732026143789
CDK,0.362518315018315,0.23809523809523808,0.2867826573708927
EGFR,0.6909141229141229,0.6074074074074074,0.6442349438033903
HDAC,0.6610817111475532,0.675,0.666640434877517
HMGCR,0.1007936507936508,0.13333333333333333,0.11457875457875458
JAK,0.24106060606060606,0.2,0.21658744600680083
MTOR,0.9636363636363636,0.6833333333333333,0.7953187316116378
PARP,0.43368262284670955,0.4,0.414465818981948
TOPOISOMERASE,0.09010989010989011,0.08333333333333333,0.08505263157894737
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.12805860805860805,0.2333333333333333,0.1614912280701754
VEGFR,0.0544047619047619,0.2,0.08327485380116958
