moa,precision,recall,f1
AKT,0.7378571428571429,0.9666666666666668,0.8335164835164836
AURORA KINASE,0.8366666666666667,0.4166666666666667,0.5526797385620915
CDK,0.32965416936005176,0.23809523809523805,0.2758038179710006
HDAC,0.7450079536375849,0.6291666666666667,0.6717670031178409
HMGCR,0.21428571428571427,0.19999999999999998,0.1823076923076923
JAK,0.2886013986013986,0.22666666666666666,0.2533675213675214
MTOR,0.8868181818181817,0.7333333333333334,0.798977978543196
PARP,0.48385093167701865,0.5,0.4885750962772786
TOPOISOMERASE,0.138965744400527,0.18333333333333332,0.150904071773637
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5736360739403336,0.5515151515151515,0.5596407176176231
VEGFR,0.03333333333333333,0.06666666666666667,0.04444444444444444
