moa,precision,recall,f1
AKT,0.8095238095238095,0.8,0.7947985347985348
AURORA KINASE,0.5239393939393939,0.5166666666666667,0.5185990338164251
CDK,0.29381825604735823,0.21904761904761902,0.24980097302078724
HDAC,0.6953939675988645,0.6958333333333333,0.6930651747006887
HMGCR,0.23454545454545456,0.2,0.19331550802139036
JAK,0.2905952380952381,0.29333333333333333,0.2862793670713582
MTOR,0.9177777777777777,0.6833333333333333,0.7802688539530644
PARP,0.4575438596491228,0.4222222222222222,0.4376228501228502
TOPOISOMERASE,0.10285714285714284,0.13333333333333333,0.1150974025974026
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5196551724137931,0.4512820512820513,0.47642452510078853
