moa,precision,recall,f1
AKT,0.7171861471861473,0.9666666666666668,0.8138870932988581
AURORA KINASE,0.7357142857142858,0.4666666666666667,0.5705263157894737
CDK,0.30981289951878194,0.22857142857142856,0.26215764432482697
EGFR,0.6356308506308507,0.6074074074074074,0.6192368561680437
HDAC,0.6414288580272187,0.6583333333333333,0.6468933430838097
HMGCR,0.465,0.2333333333333333,0.2692207792207792
JAK,0.20945773524720895,0.18666666666666668,0.19552203787497907
MTOR,0.9032467532467532,0.6833333333333333,0.7702288329519451
PARP,0.42462269756387405,0.4444444444444445,0.4334168755221387
TOPOISOMERASE,0.16781376518218621,0.26666666666666666,0.20485083676934274
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.2941013071895425,0.30666666666666664,0.29908520690778756
