moa,precision,recall,f1
AKT,0.5292857142857142,0.37777777777777777,0.43613445378151255
AURORA KINASE,0.5132691835900232,0.6777777777777778,0.5827718709646276
CDK,0.620944055944056,0.2962962962962963,0.38607508061331297
EGFR,0.5767989417989419,0.7238095238095237,0.6408016539949314
HDAC,0.563355992844365,0.5866666666666667,0.5732731450988129
HMGCR,0.025,0.03333333333333333,0.02857142857142857
JAK,0.23908730158730157,0.15238095238095237,0.1846113646113646
MTOR,0.6842857142857143,0.25,0.3597987616099071
PARP,0.5228465608465609,0.6083333333333333,0.5616964734611793
TOPOISOMERASE,0.5275335775335774,0.4666666666666667,0.4890676691729324
TUBULIN,0.26211159211159213,0.8,0.39159458976903194
TYROSINE KINASE,0.08031968031968031,0.05333333333333333,0.06323676323676324
VEGFR,0.055384615384615386,0.05,0.05236363636363637
