moa,precision,recall,f1
AKT,0.5468614718614718,0.4444444444444445,0.48392156862745095
AURORA KINASE,0.4769668737060041,0.6444444444444445,0.5465683132703282
CDK,0.4022770943701177,0.4222222222222222,0.40027666482453717
HDAC,0.5941102756892229,0.5333333333333333,0.5615047614392663
HMGCR,0.08666666666666667,0.1,0.09166666666666666
JAK,0.22957630604689433,0.17142857142857143,0.19460868313053495
MTOR,0.7257142857142858,0.25,0.3643343653250774
PARP,0.5676793013749535,0.5833333333333333,0.5749332498957029
TOPOISOMERASE,0.5755555555555556,0.5,0.5296403596403596
TUBULIN,0.3094444444444445,0.7777777777777777,0.4305918948776092
TYROSINE KINASE,0.4703609883370003,0.3388888888888889,0.3923714866372669
VEGFR,0.07423223834988542,0.1,0.08418861207907861
