moa,precision,recall,f1
AKT,0.5155555555555555,0.3555555555555555,0.4115079365079365
AURORA KINASE,0.5081518088881827,0.7666666666666666,0.6098590063136242
CDK,0.44004105090311985,0.4518518518518519,0.4419172198735362
HDAC,0.6467545748225675,0.5066666666666666,0.5637785443171
HMGCR,0.15538461538461537,0.16666666666666666,0.15741626794258373
JAK,0.33927601809954744,0.23809523809523805,0.27783237491788787
MTOR,0.6333333333333333,0.26666666666666666,0.3655555555555555
PARP,0.5824523635618089,0.6333333333333333,0.6060035421635536
TOPOISOMERASE,0.4426092404925357,0.5166666666666667,0.45458727463820836
TUBULIN,0.33598879551820726,0.9111111111111111,0.4821864033783382
TYROSINE KINASE,0.5354320506095291,0.44444444444444436,0.48286506145803515
