moa,precision,recall,f1
AKT,0.6442424242424243,0.4888888888888888,0.5299572460563173
AURORA KINASE,0.48332115555346045,0.7111111111111111,0.5662518946624078
CDK,0.5219047619047619,0.34814814814814815,0.41325169886445784
EGFR,0.4911369332421963,0.7238095238095239,0.5801206507216384
HDAC,0.6977912891705996,0.4177777777777778,0.5212206079852029
HMGCR,0.10666666666666666,0.06666666666666667,0.0808080808080808
JAK,0.21014791881664943,0.17142857142857143,0.18787265366212735
MTOR,0.3512121212121212,0.18333333333333332,0.23256606990622336
PARP,0.63458751393534,0.6333333333333333,0.6336524822695035
TOPOISOMERASE,0.43594177064765305,0.4166666666666667,0.42101384372748696
TUBULIN,0.24299989103192762,0.8,0.3699232505083569
TYROSINE KINASE,0.1677719298245614,0.15833333333333333,0.16132872787357838
