moa,precision,recall,f1
AKT,0.7533333333333333,0.9333333333333332,0.8261904761904761
AURORA KINASE,0.809090909090909,0.5,0.6110144927536232
CDK,0.2501188633348076,0.26666666666666666,0.2533994690229617
EGFR,0.708178451178451,0.5925925925925926,0.6391599374792654
HDAC,0.8085940300833918,0.6458333333333334,0.7160953692915296
HMGCR,0.10500000000000001,0.13333333333333333,0.11493506493506493
JAK,0.22857142857142856,0.24,0.23156650246305416
MTOR,0.7886363636363637,0.75,0.7593788819875777
PARP,0.6480549199084669,0.6555555555555556,0.6458605501288428
TOPOISOMERASE,0.3093672993672994,0.25,0.27287192289022955
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.06857142857142857,0.06666666666666667,0.06713286713286713
VEGFR,0.15666666666666668,0.3333333333333333,0.20757020757020755
