moa,precision,recall,f1
AKT,0.6350793650793651,0.9,0.741941391941392
AURORA KINASE,0.8547619047619047,0.5,0.627268170426065
CDK,0.23527128501937114,0.3238095238095238,0.26879502871669336
HDAC,0.7878841041998937,0.6083333333333333,0.6831335197176658
HMGCR,0.11650793650793649,0.13333333333333333,0.11939393939393939
JAK,0.1602930402930403,0.15999999999999998,0.15564213564213564
MTOR,0.8671794871794871,0.6833333333333333,0.7517065390749601
PARP,0.5746983408748114,0.6555555555555556,0.6068929007009501
TOPOISOMERASE,0.4615208321090674,0.4666666666666666,0.43926892281413477
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.7460668276972624,0.5878787878787878,0.651472383825325
VEGFR,0.09714285714285714,0.2,0.13
