moa,precision,recall,f1
AKT,0.7036147186147186,0.8333333333333333,0.7500009794127441
AURORA KINASE,0.5856410256410257,0.5,0.5375584415584416
CDK,0.28097111838346056,0.30476190476190473,0.28817915220354245
HDAC,0.7693328639324062,0.65,0.7030264588471822
HMGCR,0.33999999999999997,0.19999999999999998,0.2463636363636364
JAK,0.21538461538461537,0.25333333333333335,0.23100529100529102
MTOR,0.8800000000000001,0.6833333333333333,0.7655502392344498
PARP,0.4927777777777777,0.7666666666666667,0.5988095238095238
TOPOISOMERASE,0.363030303030303,0.2666666666666667,0.3015502854633289
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5954707170224411,0.4512820512820513,0.5106134666826407
