moa,precision,recall,f1
AKT,0.5501948051948051,0.7666666666666667,0.6335811247575954
AURORA KINASE,0.7914285714285715,0.5,0.6087400318979266
CDK,0.3228244766505636,0.36190476190476184,0.3360031819424764
EGFR,0.6858011615203266,0.711111111111111,0.6939814562901393
HDAC,0.7141414141414142,0.6333333333333334,0.6710408432147561
HMGCR,0.08,0.1,0.08636363636363636
JAK,0.196510743298669,0.21333333333333332,0.20367451966123692
MTOR,0.8267948717948718,0.6833333333333333,0.7409696969696971
PARP,0.5050460880670775,0.7,0.5855058854539914
TOPOISOMERASE,0.41460317460317453,0.2833333333333333,0.3260941329052784
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.35805860805860806,0.10666666666666666,0.13986918878223226
