moa,precision,recall,f1
AKT,0.5614285714285715,0.48888888888888893,0.5167403803626713
AURORA KINASE,0.4815686274509804,0.4,0.4354475631894987
CDK,0.48494921446839606,0.4814814814814815,0.48107732539653353
EGFR,0.5411596424010218,0.6857142857142857,0.6044492753623187
HDAC,0.8490655987795577,0.7822222222222223,0.8134614198496501
HMGCR,0.8333333333333333,0.8666666666666666,0.8361904761904763
JAK,0.23364389233954452,0.20952380952380953,0.2172627372627373
MTOR,0.905,0.5333333333333334,0.661985176845858
PARP,0.5594405594405594,0.6833333333333333,0.6129145304421426
TOPOISOMERASE,0.5956410256410256,0.65,0.6206666666666667
TUBULIN,0.6373626373626373,0.7555555555555554,0.6845849802371541
TYROSINE KINASE,0.07922077922077922,0.06666666666666668,0.07214854111405836
VEGFR,0.022291021671826623,0.03333333333333333,0.026696329254727473
