moa,precision,recall,f1
AKT,0.49383116883116884,0.5555555555555556,0.5167774936061381
AURORA KINASE,0.4226585695006747,0.36666666666666664,0.39124119807231766
CDK,0.48290255793762105,0.4666666666666667,0.47122815007590546
HDAC,0.8478871597598647,0.7822222222222223,0.8132932985861944
HMGCR,0.6945238095238095,0.8,0.7354911754911756
JAK,0.3191925086407845,0.35238095238095235,0.3308645029970195
MTOR,0.8278571428571428,0.5,0.6157331832254433
PARP,0.5782284382284383,0.7083333333333333,0.6343570255688482
TOPOISOMERASE,0.6441083916083915,0.6666666666666667,0.6509745906267645
TUBULIN,0.7068831168831169,0.711111111111111,0.7038080495356038
TYROSINE KINASE,0.33932062561094817,0.3,0.3183926912750824
VEGFR,0.0,0.0,0.0
