moa,precision,recall,f1
AKT,0.6791666666666666,0.6444444444444445,0.6381176470588235
AURORA KINASE,0.47914034435773567,0.6333333333333334,0.5446070460704607
CDK,0.5758556089219704,0.5111111111111111,0.5393476023566262
HDAC,0.8067341886576876,0.7822222222222222,0.7934288395206812
HMGCR,0.6714285714285715,0.7333333333333333,0.7
JAK,0.30538872891814073,0.2095238095238095,0.24640092879256964
MTOR,0.9178571428571429,0.5166666666666667,0.6562435500515995
PARP,0.4928409090909091,0.7166666666666667,0.5832467822097617
TOPOISOMERASE,0.5957042957042957,0.6166666666666666,0.6045484949832776
TUBULIN,0.7783333333333333,0.7555555555555555,0.765531475748194
TYROSINE KINASE,0.45064182194616975,0.44000000000000006,0.44509789061513194
