moa,precision,recall,f1
AKT,0.4873992673992674,0.5777777777777777,0.5128552606813477
AURORA KINASE,0.4335317932841153,0.4666666666666666,0.4464864864864865
CDK,0.4623002795416588,0.5037037037037038,0.4810082859139463
EGFR,0.5507334428024083,0.6857142857142857,0.6091218574386277
HDAC,0.875544575153197,0.7955555555555556,0.8328626681651985
HMGCR,0.7976190476190477,0.9,0.8432234432234432
JAK,0.30906512132518327,0.18095238095238092,0.2241103232464463
MTOR,0.9269841269841269,0.4833333333333334,0.6282765737874096
PARP,0.6012811424199923,0.6166666666666667,0.6066655110450537
TOPOISOMERASE,0.6406260406260407,0.5833333333333334,0.605022120518688
TUBULIN,0.6837373737373738,0.7333333333333332,0.7051530787753698
TYROSINE KINASE,0.23700874918567783,0.2833333333333333,0.2569882851934945
