moa,precision,recall,f1
AKT,0.7714285714285715,0.9666666666666668,0.8446153846153847
AURORA KINASE,0.48571428571428577,0.3,0.3595864661654135
CDK,0.7307002801120448,0.48571428571428577,0.5810055441634389
EGFR,0.664436026936027,0.6296296296296295,0.6439315462531529
HDAC,0.9384970584970584,0.8291666666666668,0.8799320769722666
HMGCR,0.8,0.8,0.7866666666666667
JAK,0.4726307189542484,0.3733333333333333,0.40861838346059953
MTOR,0.8794117647058822,0.9166666666666666,0.8930284857571215
PARP,0.6061303258145363,0.7333333333333333,0.6614790857140919
TOPOISOMERASE,0.5613131313131313,0.75,0.6280383022774327
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.05454545454545454,0.1,0.07058823529411765
VEGFR,0.06936274509803922,0.3333333333333333,0.1143859649122807
