moa,precision,recall,f1
AKT,0.7637362637362638,0.9666666666666668,0.8260826892405839
AURORA KINASE,0.5616666666666668,0.25,0.33773109243697486
CDK,0.7501031991744067,0.638095238095238,0.6876479817429753
HDAC,0.9516631974297478,0.8583333333333334,0.9014928984411608
HMGCR,0.8333333333333334,0.6,0.6803030303030303
JAK,0.49508021390374324,0.42666666666666675,0.4541419098143237
MTOR,0.8198879551820728,0.9333333333333332,0.8635636028139777
PARP,0.6073976608187135,0.6888888888888889,0.6439464913149124
TOPOISOMERASE,0.45909319438731205,0.5333333333333333,0.48830384807596205
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.6020090851589902,0.5636363636363636,0.5812322586203182
VEGFR,0.08352941176470588,0.4666666666666666,0.14130718954248364
