moa,precision,recall,f1
AKT,0.7184981684981685,0.9666666666666668,0.8066576698155646
AURORA KINASE,0.6344444444444445,0.33333333333333337,0.4259719039130804
CDK,0.736632490316701,0.638095238095238,0.679313399778516
HDAC,0.9408130217135661,0.8625,0.8996380583565937
HMGCR,0.9,0.5333333333333333,0.6433333333333333
JAK,0.34095670995671,0.44000000000000006,0.37586080586080584
MTOR,0.8041980894922072,0.9166666666666666,0.8490284857571213
PARP,0.7003007518796992,0.7,0.6934845559845559
TOPOISOMERASE,0.5548764960529666,0.5333333333333333,0.5278232678532528
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5968167701863354,0.7025641025641025,0.6450143991185235
