moa,precision,recall,f1
AKT,0.7719480519480519,1.0,0.8604072398190047
AURORA KINASE,0.6075757575757575,0.35,0.4317977915804002
CDK,0.7524509803921569,0.5619047619047619,0.6397974713764187
EGFR,0.6565128205128204,0.6666666666666666,0.6605275889287806
HDAC,0.9191423844103319,0.8541666666666667,0.8853046121316241
HMGCR,0.9266666666666667,0.7333333333333333,0.8054545454545454
JAK,0.4122249345082162,0.4133333333333334,0.40810409325020325
MTOR,0.8944444444444445,0.9,0.8897891963109353
PARP,0.5341818181818182,0.6666666666666666,0.5923339403528673
TOPOISOMERASE,0.5717736365801381,0.8166666666666667,0.6695241538217067
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.29424674217513097,0.3866666666666666,0.33311821219715954
