moa,precision,recall,f1
AKT,0.5850032320620555,0.7333333333333333,0.6352831379147167
AURORA KINASE,0.46882591093117404,0.4111111111111111,0.4340883540586427
CDK,0.4992221308700489,0.48888888888888893,0.492551724137931
EGFR,0.5172275132275133,0.6571428571428571,0.5763152020447226
HDAC,0.8585134972041262,0.76,0.8053407352229869
HMGCR,0.7414285714285714,1.0,0.8489010989010989
JAK,0.3697385620915033,0.2952380952380952,0.3261500321834083
MTOR,0.8349206349206348,0.45,0.5751879699248119
PARP,0.5168024329314652,0.6583333333333333,0.5783905396289297
TOPOISOMERASE,0.7382905982905983,0.7333333333333333,0.7308994708994708
TUBULIN,0.63,0.711111111111111,0.6666666666666666
TYROSINE KINASE,0.15691919191919196,0.09333333333333334,0.11587482083134257
VEGFR,0.09563246351172047,0.13333333333333333,0.11114180591377476
