moa,precision,recall,f1
AKT,0.6788034188034187,0.7555555555555555,0.7120680489101542
AURORA KINASE,0.4722222222222222,0.5,0.4825501032355378
CDK,0.4575661375661375,0.4962962962962963,0.47502797397534235
HDAC,0.8787983299611206,0.7733333333333332,0.8214123667170163
HMGCR,0.6790043290043289,0.9666666666666668,0.7936910148674855
JAK,0.29789822283428424,0.2571428571428571,0.2708015135878913
MTOR,0.7542857142857142,0.45,0.5588516746411483
PARP,0.593452380952381,0.7,0.6404438698556346
TOPOISOMERASE,0.7174002468120115,0.8,0.7526476761619191
TUBULIN,0.7583333333333333,0.6888888888888889,0.7215686274509805
TYROSINE KINASE,0.3996174196174196,0.37222222222222223,0.38383748958396846
VEGFR,0.027884615384615386,0.03333333333333333,0.030285714285714284
