moa,precision,recall,f1
AKT,0.7487789987789988,0.7555555555555554,0.7437017231134878
AURORA KINASE,0.46003256003256005,0.6888888888888889,0.5515239350021959
CDK,0.6254636591478697,0.5555555555555556,0.5859486464090045
HDAC,0.8653744297318349,0.7733333333333333,0.8152613249659553
HMGCR,0.6557142857142857,0.8666666666666666,0.7434065934065934
JAK,0.40044444444444444,0.23809523809523808,0.2851734926581374
MTOR,0.8195238095238094,0.45,0.577860337117303
PARP,0.4852389113852529,0.6833333333333333,0.5632896980366515
TOPOISOMERASE,0.6460531135531136,0.7833333333333333,0.7072836792836792
TUBULIN,0.8755555555555556,0.6888888888888889,0.7618713450292397
TYROSINE KINASE,0.47658730158730156,0.4444444444444445,0.45859576119615164
