moa,precision,recall,f1
AKT,0.48623376623376624,0.5777777777777777,0.5225580254985289
AURORA KINASE,0.4338751633281787,0.5777777777777777,0.4912504839334108
CDK,0.5182050839659536,0.47407407407407404,0.49151537978656623
EGFR,0.5510865800865801,0.6095238095238095,0.578293931660969
HDAC,0.8447515174344442,0.7644444444444444,0.8019357568056457
HMGCR,0.8261904761904763,1.0,0.9006593406593406
JAK,0.4207602339181287,0.2761904761904762,0.32727272727272727
MTOR,0.9333333333333332,0.4833333333333334,0.6283208020050125
PARP,0.5968253968253968,0.6666666666666667,0.6293363499245853
TOPOISOMERASE,0.7017857142857142,0.75,0.7164631664631664
TUBULIN,0.6833333333333332,0.6666666666666666,0.6745098039215686
TYROSINE KINASE,0.2602422003284072,0.2833333333333333,0.26962863132674453
