moa,precision,recall,f1
AKT,0.7928571428571429,0.9666666666666666,0.8673260073260073
AURORA KINASE,0.6226190476190476,0.33333333333333337,0.42746449456975777
CDK,0.6771256684491977,0.5904761904761904,0.6286123242985051
EGFR,0.6718010225656402,0.6592592592592592,0.6640042850231529
HDAC,0.9510971416290565,0.8458333333333332,0.8940193738886147
HMGCR,0.8242857142857142,0.7666666666666666,0.7732933732933733
JAK,0.6907536907536908,0.4666666666666667,0.5487382987382987
MTOR,0.8700711053652231,0.9166666666666666,0.885462052190688
PARP,0.619079809079809,0.7333333333333333,0.6687653866601235
TOPOISOMERASE,0.5712197606315252,0.8333333333333333,0.6706667759406096
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.07472527472527472,0.13333333333333333,0.09392712550607288
VEGFR,0.1965367965367965,0.6666666666666666,0.30095238095238097
