moa,precision,recall,f1
AKT,0.6771428571428572,1.0,0.7974725274725275
AURORA KINASE,0.5611111111111111,0.3666666666666667,0.44260651629072684
CDK,0.7167323388685618,0.5809523809523809,0.6346309370988447
HDAC,0.9473325677644613,0.8541666666666666,0.8971307077098511
HMGCR,0.9714285714285715,0.7666666666666667,0.8264335664335665
JAK,0.5264957264957265,0.4666666666666666,0.4897849462365592
MTOR,0.951048951048951,0.8666666666666666,0.9048537549407113
PARP,0.6096597653554175,0.7,0.6475140784239579
TOPOISOMERASE,0.504658705587498,0.7166666666666666,0.5840199548319682
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.64556059439263,0.5696969696969696,0.6046648138023206
VEGFR,0.1263467492260062,0.6,0.2071328671328671
