moa,precision,recall,f1
AKT,0.7880952380952381,0.9666666666666668,0.8578621378621378
AURORA KINASE,0.761904761904762,0.4166666666666667,0.5380116959064327
CDK,0.6889620183737831,0.5619047619047619,0.613490799390678
HDAC,0.9381223524124851,0.8833333333333334,0.9089039809424161
HMGCR,0.9,0.5333333333333333,0.6666666666666666
JAK,0.43350197016605685,0.5466666666666666,0.48209902705633256
MTOR,0.9666666666666666,0.85,0.9017316017316016
PARP,0.7027799736495388,0.7555555555555555,0.7216790574322856
TOPOISOMERASE,0.6400132684652808,0.8833333333333332,0.7325368735824799
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.6206773914547656,0.7282051282051282,0.6694701183321513
