moa,precision,recall,f1
AKT,0.7928571428571429,0.9,0.8288267288267288
AURORA KINASE,0.7107142857142857,0.3833333333333334,0.49484004127966974
CDK,0.7156862745098039,0.6285714285714286,0.6683914288535597
EGFR,0.6581241765480895,0.6888888888888889,0.6695153137079988
HDAC,0.9372134606209428,0.8625,0.8980093952711898
HMGCR,0.8833333333333332,0.5333333333333333,0.6622222222222222
JAK,0.5673748473748473,0.52,0.537901776384535
MTOR,0.8871794871794872,0.9333333333333332,0.9026086956521739
PARP,0.510102564102564,0.711111111111111,0.5938789892278264
TOPOISOMERASE,0.5900520532099479,0.7833333333333334,0.6470109584812471
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.36459221369707306,0.43999999999999995,0.3976275917065391
