moa,precision,recall,f1
AKT,0.5505882352941176,0.6666666666666666,0.5786234817813766
AURORA KINASE,0.544821787670758,0.6777777777777778,0.6030326144960292
CDK,0.46459259259259256,0.4444444444444445,0.45413105413105403
EGFR,0.48234278266536335,0.5809523809523809,0.5241587394273821
HDAC,0.9668082368082368,0.7555555555555555,0.8477062142915802
HMGCR,0.62,1.0,0.7633333333333334
JAK,0.39262032085561493,0.29523809523809524,0.3335365853658536
MTOR,0.7342857142857142,0.4833333333333333,0.5806698564593301
PARP,0.46926934193721853,0.5916666666666668,0.5214433900553266
TOPOISOMERASE,0.9618181818181817,0.8,0.8706719367588933
TUBULIN,0.6012820512820513,0.6666666666666666,0.6260249554367201
TYROSINE KINASE,0.24398268398268397,0.2,0.21563861425930392
VEGFR,0.0557207498383969,0.05,0.05084573502722323
