moa,precision,recall,f1
AKT,0.6221861471861472,0.6666666666666666,0.6326666666666666
AURORA KINASE,0.6036951073335513,0.6888888888888889,0.6428084053244516
CDK,0.5113336649647526,0.5259259259259259,0.51699169553979
HDAC,0.9308154308154307,0.76,0.8365133135458338
HMGCR,0.6747619047619048,1.0,0.7993772893772894
JAK,0.39572817962910845,0.32380952380952377,0.35260207764491724
MTOR,0.7378571428571429,0.4833333333333333,0.5817224880382775
PARP,0.49527832546088124,0.675,0.5698352727767514
TOPOISOMERASE,0.8572727272727274,0.7333333333333333,0.7866798418972332
TUBULIN,0.7547619047619047,0.6666666666666666,0.7068627450980393
TYROSINE KINASE,0.3879122773859617,0.4111111111111111,0.3983429433006563
VEGFR,0.016666666666666666,0.016666666666666666,0.016666666666666666
