moa,precision,recall,f1
AKT,0.5924242424242424,0.6666666666666666,0.6230812324929971
AURORA KINASE,0.48839509915371987,0.7444444444444445,0.5891580760382258
CDK,0.5358909835684029,0.5259259259259259,0.5290359339620423
HDAC,0.9514423076923076,0.7333333333333333,0.8272893538716325
HMGCR,0.6566666666666666,1.0,0.7914285714285715
JAK,0.3464005602240896,0.2666666666666666,0.3003454362119317
MTOR,0.7309523809523809,0.45,0.5547535505430242
PARP,0.4791341991341992,0.6666666666666666,0.555608251397725
TOPOISOMERASE,0.7438561438561438,0.8,0.7685673231760188
TUBULIN,0.8928571428571429,0.6888888888888889,0.7761764705882352
TYROSINE KINASE,0.5063252300352927,0.4666666666666666,0.48404569566474753
