moa,precision,recall,f1
AKT,0.45282717282717283,0.6666666666666666,0.537786561264822
AURORA KINASE,0.46003686635944696,0.7333333333333333,0.5645637729308104
CDK,0.5573065517932279,0.5407407407407407,0.5473205577384077
EGFR,0.5742577996715927,0.6476190476190476,0.6061990607483715
HDAC,0.9828571428571429,0.7377777777777779,0.8426164341987127
HMGCR,0.6399999999999999,1.0,0.78
JAK,0.3919894598155467,0.2761904761904762,0.3184343434343434
MTOR,0.8797619047619047,0.4666666666666667,0.5982485625829279
PARP,0.5379212103350034,0.6333333333333334,0.5812336909606609
TOPOISOMERASE,0.9833333333333332,0.85,0.9097026162243553
TUBULIN,0.7080952380952381,0.711111111111111,0.7032065457762052
TYROSINE KINASE,0.2995879982086878,0.2833333333333333,0.2899952768041365
