moa,precision,recall,f1
AKT,0.8928571428571429,1.0,0.9406593406593406
AURORA KINASE,0.5290909090909091,0.4833333333333334,0.5047430830039525
CDK,0.6981605975723623,0.5714285714285714,0.6266193897772845
EGFR,0.5617948717948718,0.5111111111111111,0.5328359812728574
HDAC,0.9271655328798186,0.875,0.8992646787126335
HMGCR,0.8066666666666666,0.6666666666666666,0.7266666666666666
JAK,0.6457575757575758,0.49333333333333335,0.5538729096989966
MTOR,0.9051282051282051,0.9166666666666666,0.9099710144927536
PARP,0.6677761597670064,0.8111111111111112,0.731430454845089
TOPOISOMERASE,0.804978354978355,0.8,0.8009476031215161
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.02,0.03333333333333333,0.025
VEGFR,0.2168627450980392,0.8666666666666666,0.3427838827838828
