moa,precision,recall,f1
AKT,0.8857142857142858,1.0,0.9384615384615385
AURORA KINASE,0.6711904761904762,0.4666666666666667,0.5486397812713601
CDK,0.6865752616836207,0.5904761904761905,0.632873851294904
HDAC,0.8987571617668074,0.8666666666666668,0.8814452649587837
HMGCR,0.8133333333333332,0.7333333333333333,0.7696969696969698
JAK,0.4897635800731776,0.5333333333333334,0.5056625727213963
MTOR,0.9358974358974358,0.9166666666666666,0.9252753623188406
PARP,0.6819875776397516,0.8555555555555555,0.758295363173412
TOPOISOMERASE,0.7302991452991454,0.7166666666666666,0.710121212121212
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5472186763760977,0.4242424242424242,0.4759630041610019
VEGFR,0.19563436563436562,0.9333333333333332,0.32003105590062114
