moa,precision,recall,f1
AKT,0.9142857142857143,0.9666666666666668,0.9356643356643357
AURORA KINASE,0.7761904761904762,0.5,0.6069172932330826
CDK,0.6694771241830065,0.5714285714285714,0.6160890029952931
HDAC,0.8763399720846529,0.8333333333333334,0.8531360284769895
HMGCR,0.830952380952381,0.6,0.6764102564102564
JAK,0.38268398268398274,0.5466666666666666,0.44708740570809535
MTOR,0.9571428571428571,0.9333333333333332,0.942353298875038
PARP,0.5946573426573426,0.8111111111111111,0.6835192714262481
TOPOISOMERASE,0.6683316683316682,0.6166666666666666,0.6332096461890512
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.6305148005148006,0.6564102564102564,0.642821657989324
