moa,precision,recall,f1
AKT,0.8142857142857143,1.0,0.8967032967032967
AURORA KINASE,0.7914285714285715,0.5,0.6087400318979266
CDK,0.6805395842547546,0.5333333333333333,0.5966775045722414
EGFR,0.5153899286987522,0.5703703703703704,0.538442163838525
HDAC,0.8656742067456353,0.8708333333333332,0.8676096668160765
HMGCR,0.7944444444444444,0.6333333333333334,0.6840404040404041
JAK,0.5743333333333334,0.5999999999999999,0.5719308087891537
MTOR,0.8930481283422459,0.8833333333333334,0.88215892053973
PARP,0.7092111592111593,0.8666666666666668,0.7780656770130454
TOPOISOMERASE,0.7,0.6166666666666666,0.6388888888888888
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.35616246498599435,0.43999999999999995,0.390034630120837
