moa,precision,recall,f1
AKT,0.5072727272727272,0.5111111111111111,0.5042105263157894
AURORA KINASE,0.40545454545454546,0.4111111111111111,0.4024479555887691
CDK,0.5244034391534391,0.47407407407407404,0.49453827249535864
EGFR,0.5071144781144781,0.5714285714285714,0.5362088529378721
HDAC,0.8366011042097998,0.8088888888888889,0.821951472012324
HMGCR,0.6599999999999999,0.7,0.6711038961038961
JAK,0.25206182706182706,0.19047619047619047,0.21234331127948147
MTOR,0.75,0.4666666666666666,0.562857142857143
PARP,0.6348903326114721,0.7166666666666667,0.6718795069658177
TOPOISOMERASE,0.6098734598734599,0.65,0.6279442586399109
TUBULIN,0.6395670995670996,0.8666666666666666,0.7327928516944535
TYROSINE KINASE,0.3027364792070674,0.24,0.2618342704549601
VEGFR,0.015384615384615385,0.016666666666666666,0.016
