moa,precision,recall,f1
AKT,0.6255555555555555,0.711111111111111,0.6643274853801169
AURORA KINASE,0.390855614973262,0.34444444444444444,0.36215711693025665
CDK,0.513079513079513,0.47407407407407404,0.49222354963594855
HDAC,0.8243770362880575,0.8,0.8114919067860245
HMGCR,0.7055555555555555,0.7333333333333333,0.7018181818181818
JAK,0.21122371145254437,0.18095238095238092,0.1936163836163836
MTOR,0.7689393939393939,0.4666666666666667,0.5704973003694231
PARP,0.516889827615634,0.6916666666666667,0.5902192124923928
TOPOISOMERASE,0.6773504273504273,0.7166666666666667,0.6897671957671958
TUBULIN,0.8042857142857143,0.7777777777777777,0.7873065015479875
TYROSINE KINASE,0.4406256109481916,0.39444444444444443,0.4147129057231007
VEGFR,0.0,0.0,0.0
