moa,precision,recall,f1
AKT,0.5488888888888889,0.5111111111111111,0.5219715956558062
AURORA KINASE,0.4695785953177257,0.6555555555555556,0.5468828958902697
CDK,0.5680000000000001,0.5111111111111111,0.5368156131303461
HDAC,0.8395066495066494,0.8044444444444444,0.8199765472626919
HMGCR,0.6216233766233766,0.7,0.6437209848974554
JAK,0.2823953823953824,0.13333333333333333,0.17922003284072247
MTOR,0.9064285714285714,0.3833333333333333,0.5204334365325077
PARP,0.4446703296703296,0.6833333333333333,0.5383457761635728
TOPOISOMERASE,0.6756743256743258,0.7166666666666666,0.6940535117056856
TUBULIN,0.7353174603174603,0.711111111111111,0.7167600373482726
TYROSINE KINASE,0.5191676794060208,0.52,0.5176641125916488
