moa,precision,recall,f1
AKT,0.5168686868686869,0.5777777777777777,0.5427726178190574
AURORA KINASE,0.38709401709401703,0.5444444444444445,0.45125996810207336
CDK,0.5293225806451614,0.4814814814814815,0.5019334512968797
EGFR,0.4777019969278034,0.5999999999999999,0.5283036160871071
HDAC,0.8968125932656825,0.7777777777777778,0.8315572543606631
HMGCR,0.6107142857142858,0.5,0.5313553113553113
JAK,0.24879120879120875,0.1714285714285714,0.19990979507794884
MTOR,0.72,0.4,0.5100201484102412
PARP,0.5546141215106732,0.6083333333333333,0.5776154383701553
TOPOISOMERASE,0.6509803921568628,0.75,0.6860370950888192
TUBULIN,0.6547619047619048,0.7555555555555554,0.6893648763853368
TYROSINE KINASE,0.2165846978188176,0.2,0.2068274850302055
