moa,precision,recall,f1
AKT,0.7948051948051947,0.9666666666666668,0.8642533936651585
AURORA KINASE,0.5609523809523809,0.3833333333333333,0.45217589428115745
CDK,0.7376290376290376,0.49523809523809526,0.586673669467787
EGFR,0.5946915113871636,0.4962962962962963,0.5401345271332756
HDAC,0.9159792145838658,0.8083333333333332,0.8583126279233063
HMGCR,0.7023809523809523,0.5,0.5678632478632478
JAK,0.49545787545787556,0.42666666666666664,0.4562627257799671
MTOR,0.8418181818181818,0.9166666666666667,0.8629207677801027
PARP,0.5609914938862307,0.7333333333333334,0.6332912132912133
TOPOISOMERASE,0.6198455139631609,0.7,0.6481838445856437
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.0,0.0,0.0
VEGFR,0.07042417506813792,0.39999999999999997,0.11945887445887445
