moa,precision,recall,f1
AKT,0.8642857142857142,0.9666666666666668,0.9070929070929072
AURORA KINASE,0.5517460317460318,0.31666666666666665,0.3987085360459973
CDK,0.6956349206349207,0.523809523809524,0.5903591903591904
HDAC,0.9072979797979798,0.85,0.8774719495091163
HMGCR,0.74,0.36666666666666664,0.4535064935064935
JAK,0.5719347319347319,0.44000000000000006,0.4963304843304844
MTOR,0.7881663434604611,0.8833333333333334,0.826351436558333
PARP,0.583098104793757,0.7555555555555555,0.6567472928699307
TOPOISOMERASE,0.6479797979797979,0.8166666666666667,0.7187393604784909
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5453554360812425,0.4787878787878788,0.5071328671328672
VEGFR,0.13968253968253969,0.7999999999999999,0.23730158730158726
