moa,precision,recall,f1
AKT,0.7378571428571429,0.9666666666666668,0.8335164835164834
AURORA KINASE,0.6599999999999999,0.4,0.49411764705882355
CDK,0.7031601731601731,0.5333333333333333,0.5997688287322434
HDAC,0.9028638134086652,0.8625,0.880821669486146
HMGCR,0.8133333333333332,0.39999999999999997,0.5282828282828282
JAK,0.4042124542124543,0.5466666666666667,0.46014925173882276
MTOR,0.856140526140526,0.85,0.8501135096787271
PARP,0.686179441473559,0.7111111111111111,0.6946031746031747
TOPOISOMERASE,0.6424242424242423,0.8,0.7087922705314009
TUBULIN,0.0,0.0,0.0
TYROSINE KINASE,0.5607756496830653,0.6512820512820513,0.6016251216832972
